Instance,N,OPT,MutationMethod,AvgBestCost,AvgError_pct,AvgTime_ms
br17,17,39,Swap,40.00,2.56,58000.0
ft53,53,6905,Swap,10857.00,57.23,122000.1
ft70,70,38673,Swap,45070.00,16.54,175000.1
ftv33,34,1286,Swap,1797.00,39.74,68000.1
ftv35,36,1473,Swap,2132.00,44.74,76000.1
ftv38,39,1530,Swap,1831.00,19.67,88000.1
ftv44,45,1613,Swap,2024.00,25.48,108000.1
ftv47,48,1776,Swap,2470.00,39.08,118000.1
ftv55,56,1608,Swap,2237.00,39.12,152000.1
ftv64,65,1839,Swap,2991.00,62.64,192000.1
ftv70,71,1950,Swap,3267.00,67.54,218000.1
ftv170,171,2755,Swap,6519.00,136.62,530000.2
p43,43,5620,Swap,5679.00,1.05,100000.1
rbg323,323,1326,Swap,1692.00,27.60,670000.4
rbg358,358,1163,Swap,1620.00,39.29,725000.6
rbg403,403,2465,Swap,2681.00,8.76,798000.5
rbg443,443,2720,Swap,3054.00,12.28,855000.7
ry48p,48,14422,Swap,18184.00,26.09,115000.1
br17,17,39,Invert,39.00,0.00,62000.1
ft53,53,6905,Invert,11996.00,73.73,130000.1
ft70,70,38673,Invert,49437.00,27.83,185000.1
ftv33,34,1286,Invert,1587.00,23.41,72000.1
ftv35,36,1473,Invert,2058.00,39.71,82000.1
ftv38,39,1530,Invert,2314.00,51.24,95000.1
ftv44,45,1613,Invert,2182.00,35.28,112000.1
ftv47,48,1776,Invert,2770.00,55.97,125000.1
ftv55,56,1608,Invert,2990.00,85.95,162000.1
ftv64,65,1839,Invert,3650.00,98.48,205000.1
ftv70,71,1950,Invert,4148.00,112.72,235000.1
ftv170,171,2755,Invert,9352.00,239.46,565000.3
p43,43,5620,Invert,5666.00,0.82,105000.1
rbg323,323,1326,Invert,3560.00,168.48,695000.6
rbg358,358,1163,Invert,3819.00,228.37,752000.7
rbg403,403,2465,Invert,4558.00,84.91,825000.6
rbg443,443,2720,Invert,5361.00,97.10,885000.7
ry48p,48,14422,Invert,17893.00,24.07,122000.1
