Instance,N,OPT,PopSize,AvgBestCost,AvgError_pct,AvgTime_ms
br17,17,39,50,50.00,28.21,45000.0
ft53,53,6905,50,11402.00,65.13,98000.1
ft70,70,38673,50,46533.00,20.32,135000.1
ftv33,34,1286,50,1695.00,31.80,55000.0
ftv35,36,1473,50,1860.00,26.27,62000.0
ftv38,39,1530,50,1972.00,28.89,70000.0
ftv44,45,1613,50,2420.00,50.03,85000.1
ftv47,48,1776,50,2814.00,58.45,92000.0
ftv55,56,1608,50,2365.00,47.08,115000.0
ftv64,65,1839,50,2843.00,54.59,148000.1
ftv70,71,1950,50,3247.00,66.51,170000.1
ftv170,171,2755,50,7409.00,168.93,420000.1
p43,43,5620,50,5680.00,1.07,80000.0
rbg323,323,1326,50,1650.00,24.43,560000.3
rbg358,358,1163,50,1573.00,35.25,610000.3
rbg403,403,2465,50,2746.00,11.40,685000.3
rbg443,443,2720,50,3064.00,12.65,730000.4
ry48p,48,14422,50,20336.00,41.01,90000.0
br17,17,39,100,40.00,2.56,60000.0
ft53,53,6905,100,10819.00,56.68,125000.1
ft70,70,38673,100,45148.00,16.74,180000.1
ftv33,34,1286,100,1890.00,46.97,72000.1
ftv35,36,1473,100,1924.00,30.62,80000.1
ftv38,39,1530,100,2026.00,32.42,92000.1
ftv44,45,1613,100,2273.00,40.92,110000.1
ftv47,48,1776,100,2661.00,49.83,120000.1
ftv55,56,1608,100,2778.00,72.76,155000.1
ftv64,65,1839,100,2955.00,60.69,198000.1
ftv70,71,1950,100,3101.00,59.03,225000.1
ftv170,171,2755,100,6241.00,126.53,540000.3
p43,43,5620,100,5710.00,1.60,105000.1
rbg323,323,1326,100,1715.00,29.34,680000.5
rbg358,358,1163,100,1595.00,37.15,735000.5
rbg403,403,2465,100,2740.00,11.16,810000.6
rbg443,443,2720,100,3109.00,14.30,865000.6
ry48p,48,14422,100,19649.00,36.24,118000.1
br17,17,39,200,39.00,0.00,82000.1
ft53,53,6905,200,10219.00,47.99,165000.2
ft70,70,38673,200,45009.00,16.38,240000.2
ftv33,34,1286,200,1598.00,24.26,95000.1
ftv35,36,1473,200,1857.00,26.07,105000.1
ftv38,39,1530,200,2236.00,46.14,120000.2
ftv44,45,1613,200,2075.00,28.64,142000.1
ftv47,48,1776,200,2471.00,39.13,158000.1
ftv55,56,1608,200,2425.00,50.81,200000.2
ftv64,65,1839,200,2715.00,47.63,260000.2
ftv70,71,1950,200,3240.00,66.15,295000.2
ftv170,171,2755,200,6723.00,144.03,680000.5
p43,43,5620,200,5712.00,1.64,135000.1
rbg323,323,1326,200,1703.00,28.43,820001.1
rbg358,358,1163,200,1624.00,39.64,870001.1
rbg403,403,2465,200,2692.00,9.21,895001.2
rbg443,443,2720,200,3018.00,10.96,900001.4
ry48p,48,14422,200,19574.00,35.72,155000.2
